State,Month,Year,Min_Temp,Max_Temp,Humidity,Rainfall
Bihar,4,2021,28.03,34.42,21.098333333333336,0.09433333333333334
Bihar,4,2022,30.56,35.58,31.234333333333332,0.068
Bihar,4,2023,25.48,35.49,30.137,0.753
Bihar,4,2024,29.32,36.3,26.201999999999998,0.05533333333333333
Bihar,5,2019,30.5,38.08,25.085806451612903,0.5938709677419355
Bihar,5,2020,28.46,38.05,43.519354838709674,2.186774193548387
Bihar,5,2021,27.82,36.33,48.93193548387097,6.872258064516129
Bihar,5,2022,30.58,36.28,44.729354838709675,1.7567741935483872
Bihar,5,2023,27.71,37.01,32.39483870967742,0.6164516129032258
Bihar,5,2024,29.9,38.47,37.075161290322576,1.4693548387096773
Bihar,6,2019,30.88,40.02,43.78933333333334,2.187
Bihar,6,2020,27.67,34.84,65.96333333333334,8.096666666666666
Bihar,6,2021,27.97,34.58,74.07333333333332,11.033333333333333
Bihar,6,2022,29.9,37.93,50.14966666666667,4.338666666666667
Bihar,6,2023,29.23,40.2,37.662,3.9876666666666667
Bihar,6,2024,31.65,40.61,40.825,2.432
Bihar,7,2019,28.5,34.17,74.84935483870967,9.980967741935485
Bihar,7,2020,27.48,30.87,83.62032258064517,10.160322580645161
Bihar,7,2021,27.93,30.3,83.96129032258065,9.161935483870968
Bihar,7,2022,29.36,33.27,66.04161290322581,3.3058064516129035
Bihar,7,2023,29.21,32.97,73.24258064516128,6.179032258064517
Bihar,7,2024,28.89,32.97,73.99838709677418,6.751612903225807
Bihar,8,2019,27.79,31.15,81.84903225806453,5.313225806451613
Bihar,8,2020,27.5,30.07,85.6467741935484,5.717741935483871
Bihar,8,2021,27.33,30.01,86.65774193548387,8.466774193548387
Bihar,8,2022,27.77,31.46,75.8825806451613,6.07774193548387
Bihar,8,2023,27.51,31.02,81.78967741935485,9.59258064516129
Bihar,8,2024,27.05,30.21,84.10129032258064,9.436451612903227
Bihar,9,2019,25.01,29.97,84.69800000000001,11.739666666666666
Bihar,9,2020,26.33,29.56,85.50066666666666,8.087333333333333
Bihar,9,2021,26.5,29.19,86.76633333333332,5.281333333333333
Bihar,9,2022,26.96,29.36,83.79933333333334,4.546
Bihar,9,2023,26.71,30.35,85.88833333333334,8.707333333333334
Bihar,9,2024,26.02,29.54,86.63666666666667,6.871666666666667
Bihar,10,2019,21.14,26.7,83.51645161290324,0.917741935483871
Bihar,10,2020,21.65,28.43,81.15774193548387,2.086451612903226
Bihar,10,2021,19.61,27.99,85.14064516129032,4.073548387096774
Bihar,10,2022,23.27,28.26,75.9658064516129,2.474838709677419
Bihar,10,2023,22.66,27.87,78.59774193548388,3.504193548387097
Bihar,10,2024,24.63,28.11,81.65354838709678,0.97
Bihar,11,2019,17.66,23.98,82.07333333333332,0.001
Bihar,11,2020,16.22,22.46,72.78766666666667,0.04533333333333333
Bihar,11,2021,16.55,21.02,80.40533333333333,0.15833333333333333
Bihar,11,2022,17.58,23.82,61.806333333333335,0.0
Bihar,11,2023,19.11,24.18,70.71266666666666,0.008333333333333333
Bihar,11,2024,17.91,25.64,69.47033333333334,0.0
Bihar,12,2019,8.44,19.33,79.34,0.532258064516129
Bihar,12,2020,11.26,18.84,67.8141935483871,0.004516129032258065
Bihar,12,2021,10.36,20.79,78.59225806451613,0.3958064516129033
Bihar,12,2022,14.34,19.82,57.931935483870966,0.000967741935483871
Bihar,12,2023,13.53,22.5,68.5009677419355,0.5390322580645162
Bihar,12,2024,13.43,20.97,61.349999999999994,0.00903225806451613
Chandigarh,1,2019,8.23,16.79,56.73967741935484,1.6854838709677422
Chandigarh,1,2020,7.68,13.01,65.77709677419355,2.729677419354839
Chandigarh,1,2021,11.45,16.62,48.329354838709676,0.7290322580645162
Chandigarh,1,2022,8.93,15.36,72.55225806451612,4.816774193548387
Chandigarh,1,2023,9.63,15.59,57.990967741935485,1.1003225806451613
Chandigarh,1,2024,10.57,15.59,49.37548387096775,0.06193548387096774
Chandigarh,1,2025,10.52,18.78,47.13354838709678,0.43387096774193545
Chandigarh,2,2019,10.43,18.1,63.41464285714285,2.8175
Chandigarh,2,2020,9.98,18.9,56.455862068965516,1.0034482758620689
Chandigarh,2,2021,12.05,22.67,42.13107142857143,0.9842857142857143
Chandigarh,2,2022,9.89,16.87,65.18392857142858,1.5607142857142857
Chandigarh,2,2023,13.52,21.76,43.20928571428571,0.2617857142857143
Chandigarh,2,2024,10.87,18.61,47.306896551724144,1.5344827586206897
Chandigarh,3,2019,12.95,26.89,53.96387096774194,1.0461290322580645
Chandigarh,3,2020,13.75,22.76,62.87354838709677,3.737741935483871
Chandigarh,3,2021,18.85,27.91,32.21774193548387,0.46354838709677415
Chandigarh,3,2022,18.11,28.45,44.186129032258066,0.01935483870967742
Chandigarh,3,2023,18.47,24.44,49.90935483870968,2.831290322580645
Chandigarh,3,2024,12.87,28.12,43.75322580645161,1.9896774193548388
Chandigarh,4,2019,20.77,32.6,37.14233333333333,1.0946666666666667
Chandigarh,4,2020,19.88,29.25,47.966,2.026666666666667
Chandigarh,4,2021,23.18,32.47,27.136000000000003,1.3396666666666666
Chandigarh,4,2022,27.42,35.42,22.388666666666666,0.02733333333333333
Chandigarh,4,2023,19.67,31.04,43.58166666666667,2.1486666666666667
Chandigarh,4,2024,23.03,30.58,33.72233333333333,0.6869999999999999
Chandigarh,5,2019,28.75,36.89,28.34935483870968,0.837741935483871
Chandigarh,5,2020,26.69,35.72,39.43709677419355,2.7441935483870967
Chandigarh,5,2021,27.56,33.63,35.149354838709684,2.6564516129032256
Chandigarh,5,2022,25.94,36.39,29.225161290322582,2.2051612903225806
Chandigarh,5,2023,19.72,33.95,44.09258064516129,3.696451612903226
Chandigarh,5,2024,24.65,38.09,22.43032258064516,0.25806451612903225
Chandigarh,6,2019,29.43,38.91,30.287666666666667,1.877
Chandigarh,6,2020,27.55,35.1,47.781666666666666,3.754
Chandigarh,6,2021,27.78,36.02,44.83633333333333,3.969333333333333
Chandigarh,6,2022,28.43,37.43,34.95366666666666,3.605
Chandigarh,6,2023,24.76,34.71,54.11,5.877666666666667
Chandigarh,6,2024,32.78,39.33,29.497333333333334,1.995
Chandigarh,7,2019,27.2,36.4,65.09677419354838,9.967096774193548
Chandigarh,7,2020,27.86,34.13,69.70935483870967,10.879354838709677
Chandigarh,7,2021,26.98,35.18,67.64548387096775,13.496451612903225
Chandigarh,7,2022,26.66,32.71,78.26354838709678,15.746129032258064
Chandigarh,7,2023,26.76,31.09,82.75161290322582,18.698709677419355
Chandigarh,7,2024,27.77,34.83,71.79838709677419,10.278387096774193
Chandigarh,8,2019,26.17,29.96,80.05451612903227,9.925161290322581
Chandigarh,8,2020,26.19,30.54,83.99548387096775,10.413548387096775
Chandigarh,8,2021,25.71,29.52,79.33967741935484,6.787096774193548
Chandigarh,8,2022,26.35,29.34,85.49290322580646,7.131935483870968
Chandigarh,8,2023,25.84,29.2,86.94129032258064,12.461612903225806
Chandigarh,8,2024,25.9,29.73,86.14258064516129,12.948064516129032
Chandigarh,9,2019,23.52,28.74,79.518,5.895333333333334
Chandigarh,9,2020,25.15,28.43,72.295,0.98
Chandigarh,9,2021,24.98,27.73,82.73333333333333,8.157666666666666
Chandigarh,9,2022,24.05,27.66,82.72066666666666,10.727
